	date	run	well	timepoint	tempc	class	score	ymin	xmin	ymax	xmax	ID	centroid_x	centroid_y
260	2022-01-05	1	D2	1	26	tube_tip	0.047002945	0.835864	0.99657136	0.86359173	0.9993891	None	0.99798023	0.84972786
261	2022-01-05	1	D2	1	26	tube_tip	0.04694758	0.05859548	0.0	0.08567859	0.003118342	None	0.00155917	0.07213704
263	2022-01-05	1	D2	1	26	tube_tip	0.04632276	0.86325526	0.9965084	0.89090633	0.9996081	None	0.99805825	0.87708079
264	2022-01-05	1	D2	1	26	tube_tip	0.046048835	0.99578315	0.5980578	1.0	0.6238921	None	0.61097495	0.99789157
267	2022-01-05	1	D2	1	26	tube_tip	0.044875927	0.73847926	0.99626744	0.76533973	0.9997921	None	0.99802977	0.7519095
268	2022-01-05	1	D2	1	26	tube_tip	0.044809643	0.9956797	0.30049652	1.0	0.32763046	None	0.31406349	0.99783985
269	2022-01-05	1	D2	1	26	tube_tip	0.044796884	0.7692783	0.0	0.79687333	0.003003147	None	0.00150157	0.78307582
270	2022-01-05	1	D2	1	26	tube_tip	0.04478254	0.59213006	0.99611104	0.622911	0.9999145	None	0.99801277	0.60752053
272	2022-01-05	1	D2	1	26	tube_tip	0.04467906	0.31444994	0.61501706	0.34415773	0.64047	None	0.62774353	0.32930384
275	2022-01-05	1	D2	1	26	tube_tip	0.044530727	0.1907482	2.3679226e-05	0.21935384	0.0029320838	None	0.00147788	0.20505102
278	2022-01-05	1	D2	1	26	tube_tip	0.044031724	0.38223565	0.0	0.41065884	0.0029636924	None	0.00148185	0.39644724
284	2022-01-05	1	D2	1	26	tube_tip	0.04324986	0.0512289	0.99662966	0.07798796	0.9994243	None	0.99802698	0.06460843
286	2022-01-05	1	D2	1	26	tube_tip	0.042867493	0.9963322	0.9496981	1.0	0.9757314	None	0.96271475	0.9981661
288	2022-01-05	1	D2	1	26	tube_tip	0.042730525	0.89406717	0.0	0.92198384	0.0030592636	None	0.00152963	0.9080255
289	2022-01-05	1	D2	1	26	tube_tip	0.042081825	0.9960679	0.5271241	1.0	0.55432326	None	0.54072368	0.99803395
290	2022-01-05	1	D2	1	26	tube_tip	0.041886795	0.08947423	0.99634016	0.117891416	0.99959075	None	0.99796546	0.10368282
291	2022-01-05	1	D2	1	26	tube_tip	0.041741997	0.28472343	0.000115151866	0.31288132	0.0027937926	None	0.00145447	0.29880238
293	2022-01-05	1	D2	1	26	tube_tip	0.04154177	0.03955491	0.9962388	0.065968394	0.9996358	None	0.9979373	0.05276165
294	2022-01-05	1	D2	1	26	tube_tip	0.041336127	0.023686007	0.99628526	0.0505687	0.99967784	None	0.99798155	0.03712735
298	2022-01-05	1	D2	1	26	tube_tip	0.04069194	0.00014032272	0.50456667	0.0022900733	0.5313308	None	0.51794874	0.0012152
299	2022-01-05	1	D2	1	26	tube_tip	0.040642817	0.9096076	0.99663335	0.93835324	0.9994615	None	0.99804742	0.92398042
301	2022-01-05	1	D2	1	26	tube_tip	0.04047776	0.7967209	0.0	0.8242263	0.0029145703	None	0.00145729	0.8104736
302	2022-01-05	1	D2	1	26	tube_tip	0.040410347	0.83945906	0.0	0.86746264	0.0030692671	None	0.00153463	0.85346085
306	2022-01-05	1	D2	1	26	tube_tip	0.039727837	0.9777823	0.0	1.0	0.0040692682	None	0.00203463	0.98889115
307	2022-01-05	1	D2	1	26	tube_tip	0.03969553	0.6323698	0.0002494827	0.66052705	0.0028057205	None	0.0015276	0.64644842
309	2022-01-05	1	D2	1	26	tube_tip	0.03958536	2.0948355e-05	0.4460504	0.002333453	0.4725818	None	0.4593161	0.0011772
